Entity,Code,Year,All malignant cancers combined,Brain and nervous system cancers,Leukemia,Lymphomas and multiple myeloma
Armenia,ARM,1989,2.7192385,,2.0427403,0.84447575
Armenia,ARM,1990,1.9926934,,2.648822,0.93516207
Armenia,ARM,1991,2.6938043,,2.1875455,0.5239031
Armenia,ARM,1992,2.9069767,,1.4425851,2.1638777
Armenia,ARM,1993,3.957038,,1.4515704,0.79176563
Armenia,ARM,1994,2.4752476,,1.6205068,0.2946376
Armenia,ARM,1995,2.4070606,,1.2838801,0.7674597
Armenia,ARM,1996,3.4031413,,1.2917811,1.3150973
Armenia,ARM,1997,3.873967,,2.0439448,0.6323111
Armenia,ARM,1998,3.3462033,,1.6204537,0.36010084
Armenia,ARM,1999,4.4236274,,1.7869908,1.3636364
Armenia,ARM,2000,3.961965,,1.0867202,1.5214084
Armenia,ARM,2001,4.0085945,,2.0406265,0.68020886
Armenia,ARM,2002,3.7189584,,1.9416769,1.8548975
Armenia,ARM,2003,3.1762366,,1.7980484,1.2843202
Armenia,ARM,2006,2.8677711,2.115091,1.3332694,0
Armenia,ARM,2007,5.7424297,1.21994,1.5249249,1.21994
Armenia,ARM,2008,1.2866149,0,1.0682876,0.6739589
Armenia,ARM,2009,4.1105742,2.740143,1.0753498,0
Armenia,ARM,2010,5.4411407,0.90142334,2.5359952,0.57117397
Armenia,ARM,2011,2.8371208,1.4708261,1.9441919,0
Armenia,ARM,2012,5.139098,1.9869317,1.0147803,0.54245526
Armenia,ARM,2013,1.7428485,1.3929827,0.74807745,0
Armenia,ARM,2014,4.6353436,1.4759058,0,0
Armenia,ARM,2015,2.2942095,2.43804,1.6253599,1.1973681
Armenia,ARM,2016,2.810947,1.2142062,0.80301934,0.48494253
Armenia,ARM,2017,3.2728403,1.6152349,0.5325537,0
Armenia,ARM,2018,2.6493857,0.95066524,1.2203828,0
Armenia,ARM,2019,3.590738,0.81345785,0.4756763,0.4756763
Armenia,ARM,2020,1.5116929,2.4391792,0.4675672,0.60146034
Armenia,ARM,2021,0.98577523,2.1724648,0.79357207,0.46670306
Armenia,ARM,2022,2.396059,0.56852424,0.85278636,0
Armenia,ARM,2023,2.555401,1.1959755,0.5180944,0
Australia,AUS,1950,4.9734178,,3.7669513,1.0128292
Australia,AUS,1951,4.292554,,4.7607713,0.46948355
Australia,AUS,1952,3.950071,,5.0831003,0.6853618
Australia,AUS,1953,5.9596577,,4.987121,0.4922471
Australia,AUS,1954,7.0717278,,4.4233637,0.79940313
Australia,AUS,1955,4.8734264,,4.656457,0.87955296
Australia,AUS,1956,6.9204154,,3.7696018,0.6533977
Australia,AUS,1957,6.112613,,3.8869786,0.69766283
Australia,AUS,1958,6.7151036,,4.5521293,0.48947626
Australia,AUS,1959,5.725798,,4.793634,0.5752361
Australia,AUS,1960,6.629947,,4.191786,0.61228335
Australia,AUS,1961,5.3060822,,4.475615,0.7382457
Australia,AUS,1962,7.3057556,,4.0408626,0.99886495
Australia,AUS,1963,6.312518,,3.7164733,0.79904115
Australia,AUS,1964,8.008389,,3.4402153,0.8821065
Australia,AUS,1965,7.516678,,3.615455,0.6533955
Australia,AUS,1966,5.351047,,4.189703,0.47512093
Australia,AUS,1967,5.143012,,3.962843,0.6391682
Australia,AUS,1968,6.9204154,,3.221431,0.63580877
Australia,AUS,1969,4.6644206,,4.018586,0.46613526
Australia,AUS,1970,5.5499496,,3.7242408,0.5989955
Australia,AUS,1971,5.5632825,,4.3750257,0.49065706
Australia,AUS,1972,5.2183685,,4.3793845,0.6082478
Australia,AUS,1973,5.481411,,3.3193004,0.68814766
Australia,AUS,1974,5.700261,,3.112117,0.58228076
Australia,AUS,1975,4.7865663,,2.5026815,0.39444274
Australia,AUS,1976,4.7709923,,2.5506136,0.3508464
Australia,AUS,1977,4.424779,,2.9597633,0.43957976
Australia,AUS,1978,4.6131434,,2.4520643,0.4421755
Australia,AUS,1979,3.7833052,0.9353776,2.3181098,0.31300303
Australia,AUS,1980,4.1119723,1.1920421,2.6307137,0.5343637
Australia,AUS,1981,4.48124,1.6187274,2.3243265,0.41310933
Australia,AUS,1982,3.9864166,0.9624236,2.3432922,0.37660056
Australia,AUS,1983,3.722356,0.92487496,1.9338294,0.58855677
Australia,AUS,1984,4.5521293,1.3091216,1.8158784,0.38006756
Australia,AUS,1985,3.6377134,1.2653422,1.8136573,0.1687123
Australia,AUS,1986,3.5836828,1.1725293,1.3819095,0.2512563
Australia,AUS,1987,3.460752,1.1611993,1.3685564,0.29029983
Australia,AUS,1988,3.6054804,1.0645267,1.1873567,0.22758307
Australia,AUS,1989,3.8703434,1.0866503,1.569606,0.1789549
Australia,AUS,1990,3.1591737,1.071216,1.3886133,0.19837333
Australia,AUS,1991,3.1411083,0.86481386,1.2972208,0.157208
Australia,AUS,1992,3.2786884,0.8993157,1.6813294,0.19550343
Australia,AUS,1993,3.0888643,1.0528779,1.4818281,0.23397286
Australia,AUS,1994,4.3952594,1.0123034,1.4016508,0.25941458
Australia,AUS,1995,2.8560402,0.8110613,1.5062567,0.17152658
Australia,AUS,1996,2.9811954,1.0648266,1.3061851,0.1277792
Australia,AUS,1997,2.8966308,1.3386235,1.2238845,0.1693957
Australia,AUS,1998,3.4969687,1.4119701,1.6027769,0.16868691
Australia,AUS,1999,2.5669482,0.837667,1.2184247,0.18833822
Australia,AUS,2000,2.6921644,1.2198031,0.79882747,0.07408049
Australia,AUS,2001,2.5865057,1.2179807,1.1009783,0.3699144
Australia,AUS,2002,2.853138,1.2866093,0.7189875,0.12555905
Australia,AUS,2003,2.1022766,1.037631,0.8839079,0.14953674
Australia,AUS,2004,2.3676145,0.9555355,0.9937569,0.16924232
Australia,AUS,2006,1.5703372,0.87748146,0.5722705,0.22461933
Australia,AUS,2007,1.5691466,1.2679224,0.37291837,0
Australia,AUS,2008,1.5681992,0.84322566,0.4766058,0.14511387
Australia,AUS,2009,1.8499926,0.7245268,0.39565682,0
Australia,AUS,2010,2.137014,0.9945576,0.60383856,0.17759958
Australia,AUS,2011,1.4410623,1.1348734,0.31626132,0.15653427
Australia,AUS,2012,1.2216136,0.6912687,0.6875392,0.16887213
Australia,AUS,2013,2.1448824,0.9420695,0.57197076,0.1656961
Australia,AUS,2014,1.0700657,0.88812023,0.32893342,0.14631979
Australia,AUS,2015,1.9848471,0.8631904,0.6151198,0.1078988
Australia,AUS,2016,2.3049684,0.89146227,0.47756907,0.07087054
Australia,AUS,2017,1.4930407,1.043434,0.38509798,0.06296975
Australia,AUS,2018,1.9108326,0.75754446,0.41033658,0
Australia,AUS,2019,1.4094956,0.88317156,0.5046694,0.25739545
Australia,AUS,2020,1.4349691,0.8559228,0.38041013,0.13029265
Australia,AUS,2021,1.6014053,0.831918,0.57594323,0.12798738
Australia,AUS,2022,1.4645568,0.96075755,0.54442924,0.06203409
Australia,AUS,2023,1.5687401,1.0597523,0.3198567,0
Austria,AUT,1955,6.6403446,,3.9215686,1.2066365
Austria,AUT,1956,4.2809887,,3.5640035,0.8870163
Austria,AUT,1957,6.197521,,4.7244096,0.984252
Austria,AUT,1958,7.185629,,3.8265307,0.7742506
Austria,AUT,1959,6.8465567,,5.331007,1.2038963
Austria,AUT,1960,4.591735,,5.036108,0.5262235
Austria,AUT,1961,5.260082,,4.1079264,0.4668098
Austria,AUT,1962,5.0140395,,4.4887333,1.077296
Austria,AUT,1963,5.358615,,4.618334,0.52283025
Austria,AUT,1964,6.0593395,,4.2358522,1.1434016
Austria,AUT,1965,5.2083335,,4.6365294,1.1120378
Austria,AUT,1966,4.4815645,,4.729289,0.8179587
Austria,AUT,1967,5.311824,,3.0687232,1.0498264
Austria,AUT,1968,4.751045,,3.127506,0.48115477
Austria,AUT,1969,4.579593,,3.28,0.71999997
Austria,AUT,1970,6.1815615,,4.1637135,0.88488454
Austria,AUT,1971,5.296429,,3.476152,0.53106743
Austria,AUT,1972,5.468103,,3.557247,0.8272667
Austria,AUT,1973,5.331179,,3.4300547,0.64892924
Austria,AUT,1974,5.1968503,,3.5217972,0.872372
Austria,AUT,1975,5.1337895,,2.7943032,0.63097167
Austria,AUT,1976,4.1945004,,2.6126714,0.6110602
Austria,AUT,1977,4.0593286,,1.6458515,1.1618083
Austria,AUT,1978,4.0983605,,3.021148,0.771095
Austria,AUT,1979,3.5273368,,1.148825,0.8031207
Austria,AUT,1980,4.111166,1.3047088,2.5759366,0.7116594
Austria,AUT,1981,3.839092,1.5342466,1.8299378,0.5479452
Austria,AUT,1982,4.65935,1.2390683,1.9981151,0.3717205
Austria,AUT,1983,5.2565274,1.3456295,1.2334936,0.37495124
Austria,AUT,1984,4.2022023,1.4660028,1.6915417,0.25072145
Austria,AUT,1985,3.9963393,0.5028379,1.245268,0
Austria,AUT,1986,1.4601159,1.1319901,1.7576016,0.25108594
Austria,AUT,1987,2.611074,1.1244532,1.1276207,0.2498785
Austria,AUT,1988,2.917369,1.1206365,0.89650923,0.3725366
Austria,AUT,1989,2.9703898,1.3541112,1.2310101,0
Austria,AUT,1990,2.7495503,0.66002244,1.1000375,0.36214235
Austria,AUT,1991,2.0241458,0.98025763,1.0899487,0.36012545
Austria,AUT,1992,2.6162145,1.0770837,1.4389524,0.2159398
Austria,AUT,1993,2.9762285,1.1755502,0.9511626,0.26496595
Austria,AUT,1994,3.1439226,1.386161,1.183698,0
Austria,AUT,1995,2.5049891,0.42440498,0.8267254,0.21480201
Austria,AUT,1996,2.311138,0.96270686,0.7090246,0.3209023
Austria,AUT,1997,2.5492158,0.5929953,1.0755811,1.1553614
Austria,AUT,1998,1.7097487,0.76041746,1.0745769,1.2047032
Austria,AUT,1999,1.9208933,0.66018003,1.2066947,0.2852408
Austria,AUT,2000,3.3987594,0.9027764,0.85776746,0
Austria,AUT,2001,1.472082,1.2490664,0.7982111,0.213116
Austria,AUT,2002,2.075998,1.0449661,0.381988,0
Austria,AUT,2003,3.2919238,0.5896101,0.6640018,0
Austria,AUT,2004,2.047544,0.9548169,0.5260673,1.2903559
Austria,AUT,2005,2.0538182,1.06326,0.265815,0.58643
Austria,AUT,2006,1.6602746,0.67149425,0.5371954,0
Austria,AUT,2007,2.318088,0.7390528,0.724755,0.24158499
Austria,AUT,2008,1.511161,0.82271796,0.24407686,0
Austria,AUT,2009,2.4386783,0.6893785,0.6237805,0
Austria,AUT,2010,1.3608404,0.7394098,0.49293986,0.24646993
Austria,AUT,2011,2.0905778,1.526866,1.0168078,0.277612
Austria,AUT,2012,2.614149,0.55385476,0.315041,0
Austria,AUT,2013,2.3996642,0.5529658,0.9676902,0
Austria,AUT,2014,2.409122,0.96298826,0.68784875,0.2475462
Austria,AUT,2015,3.360594,0.68125737,0.24633817,0
Austria,AUT,2016,2.847394,0.8012125,0.26707083,0
Austria,AUT,2017,3.3124647,0.5275465,0.5275465,0
Austria,AUT,2018,1.6568009,1.4339459,0.5742918,0
Austria,AUT,2019,2.6038709,1.1624497,0.25832218,0
Austria,AUT,2020,2.6061163,0.6965834,0.51383567,0
Austria,AUT,2021,0.70778924,0.38434044,0.23212089,0
Austria,AUT,2022,3.0669346,1.6065769,0.43793,0
Austria,AUT,2023,2.356201,0.74312794,0.4954186,0
Azerbaijan,AZE,1981,5.100634,,5.6675515,1.0513546
Azerbaijan,AZE,1982,4.7934585,,6.3102665,1.5598412
Azerbaijan,AZE,1985,6.3412476,,5.580283,0.97788477
Azerbaijan,AZE,1986,5.631298,,6.2293167,1.1031082
Azerbaijan,AZE,1987,4.4444447,,4.508509,1.1430023
Azerbaijan,AZE,1988,5.751364,,4.424779,1.4726508
Azerbaijan,AZE,1989,3.3963377,,2.7204156,1.59911
Azerbaijan,AZE,1990,3.5077462,,0.36507455,5.293581
Azerbaijan,AZE,1991,4.2826552,,1.5318016,4.728605
Azerbaijan,AZE,1992,5.614035,,3.0929039,0.78585464
Azerbaijan,AZE,1993,3.8398244,,3.0849826,0.518269
Azerbaijan,AZE,1994,4.796163,,4.562204,0.5819969
Azerbaijan,AZE,1995,4.1483016,,3.8582537,0.71637905
Azerbaijan,AZE,1996,3.5746202,,3.948313,0.39207998
Azerbaijan,AZE,1997,5.581631,,3.3281825,0.649182
Azerbaijan,AZE,1998,3.1351743,,4.405784,1.1104941
Azerbaijan,AZE,1999,4.0650406,,4.087575,0.6727417
Azerbaijan,AZE,2000,5.187787,,6.006204,0.8584612
Azerbaijan,AZE,2001,5.5802975,1.2094641,3.2716136,0.20855057
Azerbaijan,AZE,2002,6.6663084,1.038795,3.7444935,0.21944262
Azerbaijan,AZE,2003,5.6374674,0.67670447,3.6313064,0.42294028
Azerbaijan,AZE,2004,6.175903,0.9652898,3.861159,0.88484895
Azerbaijan,AZE,2007,3.7809565,0.6532898,1.6367282,0.46663556
Bahamas,BHS,1972,4.484305,,4.1841006,0
Bahamas,BHS,1975,0,,0,3.164557
Bahamas,BHS,1979,0,,6.8965516,0
Bahamas,BHS,1980,3.9682539,,4.123711,0
Bahamas,BHS,1981,3.90625,,0,0
Bahamas,BHS,1983,3.7313433,,,
Bahamas,BHS,1984,4.255319,,0,0
Bahamas,BHS,1985,0,,0,0
Bahamas,BHS,1987,7.633588,,0,0
Bahamas,BHS,1993,0,,4.854369,0
Bahamas,BHS,1994,3.7313433,,0,0
Bahamas,BHS,1995,0,,0,3.4482758
Bahamas,BHS,1996,3.4413931,,0,0
Bahamas,BHS,1997,6.946374,,0,0
Bahamas,BHS,1998,0,,0,0
Bahamas,BHS,1999,3.5214987,18.796993,3.3218176,0
Bahamas,BHS,2000,6.982753,0,3.2726796,0
Bahamas,BHS,2001,0,0,4.407228,0
Bahamas,BHS,2002,3.3515434,0,3.2682943,0
Bahamas,BHS,2003,0,0,4.338583,0
Bahamas,BHS,2004,0,6.4951935,0,0
Bahamas,BHS,2005,3.2859068,0,3.2027671,0
Bahamas,BHS,2006,0,0,0,0
Bahamas,BHS,2007,0,3.1669621,0,0
Bahamas,BHS,2008,3.1352878,0,3.157363,0
Bahamas,BHS,2009,3.1128404,3.1456432,0,0
Bahamas,BHS,2010,3.0989494,0,3.1253908,0
Bahamas,BHS,2011,3.0932937,0,0,0
Bahamas,BHS,2012,0,3.1441598,3.5642364,0
Bahamas,BHS,2013,3.0984693,0,0,0
Bahamas,BHS,2014,6.217552,0,3.168568,0
Bahamas,BHS,2015,3.120709,0,0,0
Bahamas,BHS,2016,3.1165268,0,3.254149,0
Bahrain,BHR,1985,7.556675,4.576659,,2.3837903
Bahrain,BHR,1987,4.8899755,0,0,2.43309
Bahrain,BHR,1988,2.4038463,0,0,0
Bahrain,BHR,1997,5.621873,1.6839553,1.7914084,1.6839553
Bahrain,BHR,1998,7.453231,0,1.8390805,0
Bahrain,BHR,1999,1.8308647,0,0,0
Bahrain,BHR,2000,3.5290797,0,7.0516887,0
Bahrain,BHR,2001,1.6952888,0,1.4213227,0
Bahrain,BHR,2002,1.6444123,0,0,0
Bahrain,BHR,2003,3.1857786,0,1.3706516,0
Bahrain,BHR,2004,3.0719135,3.1471283,0,0
Bahrain,BHR,2005,0,0,0,0
Bahrain,BHR,2006,1.4440433,1.5523009,1.7383142,0
Bahrain,BHR,2007,1.3960826,1.6785283,1.6785283,0
Bahrain,BHR,2008,4.1116166,1.3053467,2.142857,0
Bahrain,BHR,2009,2.69629,0,2.0504198,0
Bahrain,BHR,2010,1.3228563,0,5.522116,0
Bahrain,BHR,2011,2.6578074,1.2015042,1.3748728,1.3748728
Bahrain,BHR,2012,3.8118472,1.2864549,0,0
Bahrain,BHR,2013,1.266015,0,0,0
Bahrain,BHR,2014,1.2629611,1.1134369,1.1134369,0
Barbados,BRB,1960,7.751938,,3.5273368,0
Barbados,BRB,1961,15.503876,,3.30033,0
Barbados,BRB,1962,0,,3.2362459,0
Barbados,BRB,1963,3.558719,,0,0
Barbados,BRB,1964,0,,0,6.6445184
Barbados,BRB,1966,0,,0,8
Barbados,BRB,1967,0,,6.1919503,3.0959752
Barbados,BRB,1968,0,,0,3.0769231
Barbados,BRB,1969,0,,0,0
Barbados,BRB,1970,0,,0,0
Barbados,BRB,1971,9.771987,,4.608295,0
Barbados,BRB,1972,3.2467532,,4.5662103,3.1347961
Barbados,BRB,1973,3.2051282,,4.524887,0
Barbados,BRB,1974,3.1847134,,0,4.5045047
Barbados,BRB,1975,9.523809,,3.649635,0
Barbados,BRB,1976,3.215434,,0,4.032258
Barbados,BRB,1977,0,,5.376344,3.9215686
Barbados,BRB,1978,0,,6.8965516,0
Barbados,BRB,1979,10.638298,,4.2016807,0
Barbados,BRB,1980,10.989011,,5.882353,0
Barbados,BRB,1981,0,,4.237288,0
Barbados,BRB,1982,0,,3.8461537,0
Barbados,BRB,1983,7.490637,,3.8022814,0
Barbados,BRB,1984,0,,0,0
Barbados,BRB,1985,3.8461537,,4.5454545,0
Barbados,BRB,1986,3.816794,,4.5454545,4.5454545
Barbados,BRB,1987,3.7878788,,4.5045047,0
Barbados,BRB,1988,0,,0,0
Barbados,BRB,1989,9.090909,,0,0
Barbados,BRB,1990,9.090909,,4.5454545,0
Barbados,BRB,1991,9.523809,,5.882353,0
Barbados,BRB,1992,4.7619047,,5,10
Barbados,BRB,1993,0,,0,0
Barbados,BRB,1994,4.7393365,,6.451613,0
Barbados,BRB,1995,9.478673,,0,0
Barbados,BRB,2000,0,4.917146,0,0
Barbados,BRB,2001,0,0,4.969685,0
Barbados,BRB,2002,0,6.8348026,0,0
Barbados,BRB,2003,5.027147,8.678672,5.8675117,0
Barbados,BRB,2004,10.086746,27.847397,6.856829,0
Barbados,BRB,2005,10.141988,0,5.276488,0
Barbados,BRB,2006,0,13.673344,27.956388,0
Barbados,BRB,2007,5.1604915,0,0,0
Barbados,BRB,2008,5.211319,0,11.089548,0
Barbados,BRB,2009,5.250722,0,5.273149,0
Barbados,BRB,2010,15.79363,0,0,0
Barbados,BRB,2011,0,0,0,0
Barbados,BRB,2012,10.490427,0,0,0
Barbados,BRB,2013,10.460251,0,7.5705957,0
Belarus,BLR,1981,5.6889133,,3.3679106,1.2124478
Belarus,BLR,1982,7.389849,,3.7430654,1.2031281
Belarus,BLR,1985,5.363036,,4.0621576,1.2895738
Belarus,BLR,1986,6.7289205,,4.0740976,1.3368133
Belarus,BLR,1987,5.907405,,3.4035044,1.2605572
Belarus,BLR,1988,6.03401,,3.4392197,1.3131566
Belarus,BLR,1989,5.4466233,,3.472007,0.89365506
Belarus,BLR,1990,5.66343,,3.5305047,0.88628304
Belarus,BLR,1991,3.9729836,,2.4525218,0.6917369
Belarus,BLR,1992,4.790264,,2.8029048,1.0192381
Belarus,BLR,1993,5.507573,,1.5145528,0.5706541
Belarus,BLR,1994,4.3343654,,1.3444474,0.2182453
Belarus,BLR,1995,4.1397786,,1.0621349,0.45520067
Belarus,BLR,1996,3.834172,,1.4069905,0.21353833
Belarus,BLR,1997,3.0776515,,1.1761938,0.25350684
Belarus,BLR,1998,3.90625,,0.99036646,0.3330558
Belarus,BLR,1999,3.5279806,,0.7843906,0.49024415
Belarus,BLR,2000,3.9833596,,1.0389091,0.51748264
Belarus,BLR,2001,2.983483,,1.1917479,0.49257928
Belarus,BLR,2002,3.555259,0.6766419,0.71693105,0.33832094
Belarus,BLR,2003,2.4689744,1.4826598,0.84723413,0.3504063
Belarus,BLR,2007,4.8009615,1.7480226,0.98494756,0
Belarus,BLR,2008,2.6475985,0.97328573,0.9705639,0
Belarus,BLR,2009,2.5417697,1.1617517,1.0561379,0.25642604
Belarus,BLR,2010,2.8344238,1.0520258,0.35618582,0.45335335
Belarus,BLR,2011,2.4297848,1.2387915,0.5811136,0.30969787
Belarus,BLR,2013,2.0041285,0.87766516,1.0727019,0.21290593
Belarus,BLR,2014,1.1229823,1.2281693,0.5668474,0.22262493
Belarus,BLR,2018,3.3948581,0.68012077,0.35158652,0.35774273
Belgium,BEL,1954,3.576134,,4.7535467,0.9800719
Belgium,BEL,1955,5.7121797,,4.25737,0.6475286
